ALT\TEMP,-25,-20,-10,0,10,20,30,40,-25A,-20A,-10A,0A,10A,20A,30A,40A
0,89.6,90.5,92.3,94,95.8,97.5,95.9,93.7,89.6,90.5,92.3,94,92.7,-,-,-
1,90.8,91.7,93.5,95.3,97.0,97.9,95.9,93.7,90.8,91.7,93.5,94.3,92.7,-,-,-
2,92.0,92.9,94.7,96.5,98.3,97.9,95.9,93.7,92,92.9,94.7,94.3,92.7,-,-,-
3,92.4,94.2,96.1,97.9,99.5,97.9,95.9,93.7,92.4,94.2,95.7,94.3,92.7,-,-,-
4,93.7,95.6,97.5,99.3,99.5,97.9,95.9,93.7,93.7,95.6,95.7,94.3,92.7,-,-,-
5,95.3,97.2,99.1,100.9,99.5,97.9,95.9,93.7,95.3,97.2,95.7,94.3,92.7,-,-,-
6,96.8,98.7,100.7,100.8,99.5,97.9,95.9,93.7,96.8,97.4,95.7,94.3,92.7,-,-,-
7,98.6,100.7,102.2,100.9,99.5,97.9,95.9,93.7,96.8,92.4,95.7,94.3,92.7,-,-,-
